FCODE,Atoll,islandName,longitude_dd,latitude_dd,Area_ha,category
LD0004,Alifu Alifu,Maalhos,72.71943611,3.986338889,32.107555,Residential Island
LD0008,Faafu,Feeali,73.00198611,3.269983333,17.51142,Residential Island
LD0009,Alifu Dhaalu,Omadhoo,72.96248611,3.791586111,22.58292,Residential Island
LD0016,Shaviyani,Maaun'goodhoo,73.28383889,6.036741667,28.901022,Residential Island
LD0020,Lhaviyani,Naifaru,73.36521667,5.444458333,57.388616,Residential Island
LD0044,Baa,Fulhadhoo,72.93298333,4.884883333,28.882425,Residential Island
LD0048,Haa Dhaalu,Kulhudhuffushi,73.06911944,6.623258333,247.218138,Residential Island
LD0059,Baa,Kudarikilu,73.07088333,5.300394444,18.646882,Residential Island
LD0061,Meemu,Kolhufushi,73.42454722,2.776880556,64.00644,Residential Island
LD0066,Dhaalu,Ban'didhoo,72.99036944,2.936597222,24.778278,Residential Island
LD0069,Kaafu,Maafushi,73.48966944,3.940986111,41.122774,Residential Island
LD0075,Vaavu,Felidhoo,73.54725,3.471933333,15.585969,Residential Island
LD0081,Seenu,Maradhoofeydhoo,73.12585833,-0.673661111,34.04871,Residential Island
LD0082,Thaa,Thimarafushi,73.14825278,2.208911111,99.199162,Residential Island
LD0085,Faafu,Magoodhoo,72.96388333,3.0789,24.372081,Residential Island
LD0102,Laamu,Mundoo,73.53416944,2.012502778,23.98183,Residential Island
LD0132,Alifu Alifu,Mathiveri,72.74625556,4.191863889,22.806202,Residential Island
LD0152,Laamu,Gan,73.54216667,1.918391667,603.83504,Residential Island
LD0158,Alifu Dhaalu,Maamigili,72.83490556,3.473994444,218.673254,Residential Island
LD0168,Alifu Dhaalu,Mandhoo,72.70956389,3.697794444,38.117448,Residential Island
LD0178,Raa,Rasgetheemu,73.00295556,5.807683333,38.567274,Residential Island
LD0179,Meemu,Dhiggaru,73.56530833,3.112002778,14.313349,Residential Island
LD0180,Raa,Maakurathu,73.044025,5.60625,52.303872,Residential Island
LD0181,Gaafu Dhaalu,Nadellaa,73.04064722,0.293394444,45.298219,Residential Island
LD0182,Vaavu,Fulidhoo,73.41568333,3.680527778,11.782273,Residential Island
LD0191,Noonu,Landhoo,73.46618056,5.881758333,85.720585,Residential Island
LD0194,Raa,Kinolhas,73.02930833,5.448480556,55.375921,Residential Island
LD0195,Gaafu Dhaalu,Vaadhoo,73.27363333,0.227369444,192.456249,Residential Island
LD0199,Haa Dhaalu,Hirimaradhoo,73.02412778,6.724794444,45.681428,Residential Island
LD0200,Thaa,Dhiyamigili,73.33684167,2.339680556,29.094523,Residential Island
LD0203,Noonu,Maalhendhoo,73.45611667,5.9022,46.156213,Residential Island
LD0204,Baa,Eydhafushi,73.07064167,5.1026,55.551606,Residential Island
LD0205,Thaa,Vilufushi,73.30855278,2.503258333,59.690612,Residential Island
LD0209,Dhaalu,Maaen'boodhoo,72.96353889,2.695763889,23.831984,Residential Island
LD0232,Haa Alifu,Vashafaru,73.16080556,6.897463889,34.877338,Residential Island
LD0235,Haa Dhaalu,Hanimaadhoo,73.17324444,6.756430556,298.290724,Residential Island
LD0246,Haa Alifu,Hoarafushi,72.89492222,6.983055556,67.596735,Residential Island
LD0247,Gaafu Alifu,Vilin'gili,73.43536667,0.756508333,110.420047,Residential Island
LD0254,Thaa,Buruni,73.10702778,2.558969444,33.800054,Residential Island
LD0257,Alifu Alifu,Rasdhoo,72.99185,4.263063889,21.570766,Residential Island
LD0260,Vaavu,Keyodhoo,73.54998889,3.462108333,11.698096,Residential Island
LD0265,Laamu,Hithadhoo,73.38849167,1.797066667,104.483027,Residential Island
LD0268,MLE,Vilin'gili,73.485225,4.173247222,32.519268,Residential Island
LD0272,Seenu,Meedhoo,73.23104167,-0.584308333,186.47917,Residential Island
LD0273,Alifu Dhaalu,Dhan'gethi,72.95585,3.607661111,29.861878,Residential Island
LD0281,Raa,An'golhitheemu,73.00663611,5.792727778,39.190573,Residential Island
LD0287,Alifu Alifu,Feridhoo,72.72562778,4.051063889,44.592242,Residential Island
LD0288,Seenu,Maradhoo,73.11883889,-0.665547222,59.74462,Residential Island
LD0299,Seenu,Hulhudhoo,73.22763056,-0.595905556,134.099001,Residential Island
LD0323,Laamu,Kunahandhoo,73.36816944,1.782925,91.557488,Residential Island
LD0332,Noonu,Fodhdhoo,73.21599444,5.743755556,25.749101,Residential Island
LD0334,Dhaalu,Rin'budhoo,72.89541111,2.924483333,17.139893,Residential Island
LD0340,Lhaviyani,Hinnavaru,73.41135,5.492583333,53.217771,Residential Island
